u_id,section_1_page_1_attention,section_1_page_2_attention,section_1_page_3_attention,section_1_page_4_attention,section_1_page_5_attention,section_1_page_6_attention,section_10_page_1_attention,section_10_page_2_attention,section_10_page_3_attention,section_10_page_4_attention,section_10_page_5_attention,section_10_page_6_attention,section_2_page_1_attention,section_2_page_2_attention,section_2_page_3_attention,section_2_page_4_attention,section_2_page_5_attention,section_2_page_6_attention,section_3_page_1_attention,section_3_page_2_attention,section_3_page_3_attention,section_3_page_4_attention,section_3_page_5_attention,section_3_page_6_attention,section_4_page_1_attention,section_4_page_2_attention,section_4_page_3_attention,section_4_page_4_attention,section_4_page_5_attention,section_4_page_6_attention,section_5_page_1_attention,section_5_page_2_attention,section_5_page_3_attention,section_5_page_4_attention,section_5_page_5_attention,section_5_page_6_attention,section_6_page_1_attention,section_6_page_2_attention,section_6_page_3_attention,section_6_page_4_attention,section_6_page_5_attention,section_6_page_6_attention,section_7_page_1_attention,section_7_page_2_attention,section_7_page_3_attention,section_7_page_4_attention,section_7_page_5_attention,section_7_page_6_attention,section_8_page_1_attention,section_8_page_2_attention,section_8_page_3_attention,section_8_page_4_attention,section_8_page_5_attention,section_8_page_6_attention,section_9_page_1_attention,section_9_page_2_attention,section_9_page_3_attention,section_9_page_4_attention,section_9_page_5_attention,section_9_page_6_attention
239,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,2,1,1,1,1,0,1,1,2,0,2,0
243,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
249,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,2,1,1,1,1,0,NA,NA,NA,NA,NA,NA
250,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
252,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,2,1,1,1,1,0,NA,1,NA,0,0,0
254,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,1,1,1,1,1,1,2,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,2,1,1,1,1,0,1,1,2,0,2,0
261,1,1,1,1,1,1,3,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,2,1,1,1,1,0,1,1,2,0,2,0
262,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
